choice id.cust week priceCH priceMM discountCH discountMM loyaltyCH loyaltyMM store
CH 2125401 237 1.75 1.99 0 0 0.5 0.5 1
CH 2125401 239 1.75 1.99 0 0.3 0.6 0.4 1
CH 2125401 245 1.86 2.09 0.17 0 0.68 0.32 1
MM 2125849 227 1.69 1.69 0 0 0.4 0.6 1
CH 2126904 228 1.69 1.69 0 0 0.956535 0.043465 0
CH 2126904 230 1.69 1.99 0 0 0.965228 0.034772 0
CH 2126904 232 1.69 1.99 0 0.4 0.972182 0.027818 0
CH 2126904 234 1.75 1.99 0 0.4 0.977746 0.022254 0
CH 2126904 235 1.75 1.99 0 0.4 0.982197 0.017803 0
CH 2126904 238 1.75 1.99 0 0.4 0.985757 0.014243 0
CH 2126904 240 1.86 2.09 0 0 0.988606 0.011394 0
CH 2126904 263 1.86 2.13 0.27 0 0.990885 0.009115 0
CH 2126904 276 1.99 2.13 0 0.54 0.992708 0.007292 0
CH 2127001 268 1.86 2.13 0 0 0.68 0.32 0
CH 2127001 278 2.06 2.13 0 0 0.744 0.256 0
CH 2127001 278 2.06 2.13 0 0 0.7952 0.2048 0
MM 2127019 240 1.75 1.99 0 0.3 0.5 0.5 1
MM 2127019 268 1.86 2.18 0 0 0.4 0.6 2
MM 2127019 269 1.86 2.18 0 0 0.32 0.68 2
CH 2127027 254 1.86 2.18 0 0 0.5 0.5 0
CH 2127027 257 1.86 2.18 0 0 0.6 0.4 0
CH 2127027 258 1.76 2.18 0 0 0.68 0.32 1
CH 2127027 259 1.86 2.18 0 0 0.744 0.256 0
CH 2127027 264 1.86 2.13 0.37 0 0.7952 0.2048 0
CH 2127027 268 1.86 2.13 0 0 0.83616 0.16384 0
CH 2127027 269 1.86 2.13 0.27 0 0.868928 0.131072 0
CH 2127027 271 1.86 2.13 0 0 0.895142 0.104858 0
CH 2127027 272 1.86 2.13 0 0 0.916114 0.083886 0
CH 2127027 274 1.86 2.13 0.47 0.54 0.932891 0.067109 0
CH 2127027 278 2.06 2.13 0 0 0.946313 0.053687 0
CH 2127191 246 1.89 2.09 0 0 0.5 0.5 2
CH 2127191 265 1.86 2.13 0.37 0 0.6 0.4 0
MM 2127191 275 1.96 2.18 0 0.8 0.68 0.32 2
MM 2127548 232 1.69 1.69 0 0 0.68 0.32 2
CH 2127548 251 1.99 2.23 0 0 0.544 0.456 3
CH 2127548 256 1.99 2.29 0 0 0.6352 0.3648 3
CH 2127548 258 1.76 2.18 0 0 0.70816 0.29184 1
CH 2127688 277 1.99 2.13 0.24 0 0.7952 0.2048 1
CH 2128058 271 1.99 2.09 0.1 0.4 0.4 0.6 4
CH 2128231 227 1.79 1.79 0 0 0.920961 0.079039 4
CH 2128231 229 1.79 1.79 0 0 0.936769 0.063231 4
CH 2128231 230 1.79 1.79 0 0 0.949415 0.050585 4
CH 2128231 233 1.79 2.09 0 0 0.959532 0.040468 4
CH 2128231 236 1.79 2.09 0 0 0.967626 0.032374 4
MM 2128231 237 1.79 2.09 0 0 0.9741 0.0259 4
CH 2128231 240 1.79 2.23 0 0 0.77928 0.22072 4
CH 2128231 244 1.99 2.23 0 0 0.823424 0.176576 4
CH 2128231 245 1.99 2.23 0 0 0.858739 0.141261 4
CH 2128231 246 1.99 2.23 0 0 0.886992 0.113008 4
CH 2128231 247 1.99 2.23 0 0 0.909593 0.090407 4
MM 2128231 248 1.99 2.23 0 0 0.927675 0.072325 4
CH 2128231 249 1.99 2.23 0 0 0.74214 0.25786 4
CH 2128231 252 1.99 2.23 0 0 0.793712 0.206288 4
MM 2128231 254 1.99 2.29 0 0 0.834969 0.165031 4
CH 2128231 256 1.99 2.29 0 0 0.667976 0.332024 4
CH 2128231 256 1.99 2.29 0 0 0.73438 0.26562 4
CH 2128231 257 1.99 2.29 0 0.4 0.787504 0.212496 4
CH 2128231 258 1.99 2.29 0 0 0.830003 0.169997 4
CH 2128231 258 1.86 2.18 0 0 0.864003 0.135997 0
CH 2128231 259 1.99 2.29 0 0 0.891202 0.108798 4
CH 2128231 260 1.99 2.09 0 0 0.912962 0.087038 4
CH 2128231 263 1.99 2.09 0 0 0.930369 0.069631 4
MM 2128231 265 1.99 2.09 0.1 0 0.944296 0.055704 4
CH 2128231 265 1.99 2.09 0.1 0 0.755436 0.244564 4
CH 2128231 266 1.99 2.09 0.1 0 0.804349 0.195651 4
CH 2128231 267 1.99 2.09 0.1 0 0.843479 0.156521 4
MM 2128231 269 1.99 2.09 0.1 0 0.874783 0.125217 4
MM 2128231 270 1.99 2.09 0.1 0 0.699827 0.300173 4
CH 2128231 272 1.99 2.09 0 0.4 0.559861 0.440139 4
CH 2128231 272 1.99 2.09 0 0.4 0.647889 0.352111 4
CH 2128231 274 1.99 2.09 0 0.4 0.718311 0.281689 4
CH 2128231 275 2.09 2.09 0 0.4 0.774649 0.225351 4
CH 2128231 276 2.09 2.09 0.2 0.4 0.819719 0.180281 4
CH 2128231 278 2.09 2.09 0.2 0 0.855775 0.144225 4
CH 2128363 230 1.69 1.99 0 0 0.68 0.32 0
CH 2128363 238 1.79 2.09 0 0 0.744 0.256 4
CH 2128363 239 1.79 2.23 0 0 0.7952 0.2048 4
CH 2128363 251 1.99 2.23 0 0 0.83616 0.16384 4
CH 2128363 252 1.89 2.09 0.13 0 0.868928 0.131072 2
CH 2128363 255 1.99 2.29 0 0 0.895142 0.104858 4
CH 2128363 263 1.99 2.09 0 0 0.916114 0.083886 4
CH 2128363 264 1.99 2.09 0.1 0 0.932891 0.067109 4
